,Player,2019/20,2019/20(*)
239,Troy Brown,"$3,219,480","$3,219,480"
240,Yogi Ferrell,"$3,150,000","$3,150,000"
241,Zhaire Smith,"$3,058,800","$3,058,800"
242,Ryan Arcidiacono,"$3,000,000","$3,000,000"
242,Quinn Cook,"$3,000,000","$3,000,000"
242,Khem Birch,"$3,000,000","$3,000,000"
245,Nickeil Alexander-Walker,"$2,964,840","$2,964,840"
246,DJ Wilson,"$2,961,120","$2,961,120"
247,Cedi Osman,"$2,907,143","$2,907,143"
248,Donte DiVincenzo,"$2,905,800","$2,905,800"
249,Bryn Forbes,"$2,875,000","$2,875,000"
250,Goga Bitadze,"$2,816,760","$2,816,760"
251,TJ Leaf,"$2,813,280","$2,813,280"
252,Lonnie Walker,"$2,764,200","$2,764,200"
253,Alex Caruso,"$2,750,000","$2,750,000"
254,Malik Beasley,"$2,731,713","$2,731,713"
255,Luka Samanic,"$2,689,920","$2,689,920"
256,John Collins,"$2,686,560","$2,686,560"
257,Kevin Huerter,"$2,636,280","$2,636,280"
258,Caris LeVert,"$2,625,717","$2,625,717"
259,Marko Guduric,"$2,625,000","$2,625,000"
260,DeAndre Bembry,"$2,603,981","$2,603,981"
261,Matisse Thybulle,"$2,582,160","$2,582,160"
262,Harry Giles,"$2,578,800","$2,578,800"
263,Vince Carter,"$2,564,753","$2,564,753"
263,Wilson Chandler,"$2,564,753","$2,564,753"
263,Jose Juan Barea,"$2,564,753","$2,564,753"
263,Thabo Sefolosha,"$2,564,753","$2,564,753"
263,Tyson Chandler,"$2,564,753","$2,564,753"
263,Dwight Howard,"$2,564,753","$2,564,753"
263,Rajon Rondo,"$2,564,753","$2,564,753"
263,Jared Dudley,"$2,564,753","$2,564,753"
263,Udonis Haslem,"$2,564,753","$2,564,753"
263,Kyle Korver,"$2,564,753","$2,564,753"
263,Wesley Matthews,"$2,564,753","$2,564,753"
274,Josh Okogie,"$2,530,680","$2,530,680"
275,Vincent Poirier,"$2,505,793","$2,505,793"
276,Rondae Hollis-Jefferson,"$2,500,000","$2,500,000"
277,Brandon Clarke,"$2,478,840","$2,478,840"
278,Terrance Ferguson,"$2,475,840","$2,475,840"
279,Grayson Allen,"$2,429,400","$2,429,400"
280,Alfonzo McKinnie,"$2,391,985","$2,391,985"
281,Grant Williams,"$2,379,840","$2,379,840"
282,Jarrett Allen,"$2,376,840","$2,376,840"
283,Pascal Siakam,"$2,351,838","$2,351,838"
284,Skal Labissiere,"$2,338,846","$2,338,846"
285,Chandler Hutchison,"$2,332,320","$2,332,320"
286,Patrick Patterson,"$2,331,593","$2,331,593"
287,Dejounte Murray,"$2,321,735","$2,321,735"
288,Alec Burks,"$2,320,044","$2,320,044"
289,Damian Jones,"$2,305,057","$2,305,057"
290,Darius Bazley,"$2,284,800","$2,284,800"
291,Ante Zizic,"$2,281,800","$2,281,800"
291,OG Anunoby,"$2,281,800","$2,281,800"
293,Markieff Morris,"$2,259,887","$2,259,887"
294,Luke Kornet,"$2,250,000","$2,250,000"
295,Aaron Holiday,"$2,239,200","$2,239,200"
296,Ty Jerome,"$2,193,480","$2,193,480"
297,Willie Cauley-Stein,"$2,177,483","$2,177,483"
298,Kyle O'Quinn,"$2,174,318","$2,174,318"
299,Austin Rivers,"$2,174,310","$2,174,310"
300,Carmelo Anthony,"$2,159,029","$2,159,029"
301,Anfernee Simons,"$2,149,560","$2,149,560"
302,Nassir Little,"$2,105,520","$2,105,520"
303,Moritz Wagner,"$2,063,520","$2,063,520"
304,Dylan Windler,"$2,035,800","$2,035,800"
305,Caleb Swanigan,"$2,033,160","$2,033,160"
306,Ben McLemore,"$2,028,594","$2,028,594"
306,Mike Muscala,"$2,028,594","$2,028,594"
306,Michael Carter-Williams,"$2,028,594","$2,028,594"
309,Noah Vonleh,"$2,000,000","$2,000,000"
309,Torrey Craig,"$2,000,000","$2,000,000"
309,Edmond Sumner,"$2,000,000","$2,000,000"
312,Landry Shamet,"$1,995,120","$1,995,120"
313,Mfiondu Kabengele,"$1,977,000","$1,977,000"
314,Kyle Kuzma,"$1,974,600","$1,974,600"
315,Jordan Poole,"$1,964,760","$1,964,760"
316,Tony Bradley,"$1,962,360","$1,962,360"
317,Keldon Johnson,"$1,950,600","$1,950,600"
318,Derrick White,"$1,948,080","$1,948,080"
319,Robert Williams,"$1,937,520","$1,937,520"
320,Josh Hart,"$1,934,160","$1,934,160"
321,Jacob Evans,"$1,925,880","$1,925,880"
322,Dzanan Musa,"$1,911,600","$1,911,600"
323,Omari Spellman,"$1,897,800","$1,897,800"
324,Nerlens Noel,"$1,882,867","$1,882,867"
324,James Ennis,"$1,882,867","$1,882,867"
324,Glenn Robinson III,"$1,882,867","$1,882,867"
327,Bruno Caboclo,"$1,845,301","$1,845,301"
327,Shabazz Napier,"$1,845,301","$1,845,301"
329,JaKarr Sampson,"$1,737,145","$1,737,145"
329,Raul Neto,"$1,737,145","$1,737,145"
329,Mario Hezonja,"$1,737,145","$1,737,145"
329,Emmanuel Mudiay,"$1,737,145","$1,737,145"
333,Pat Connaughton,"$1,723,050","$1,723,050"
334,Jahlil Okafor,"$1,702,486","$1,702,486"
335,Rodions Kurucs,"$1,699,236","$1,699,236"
336,Cheick Diallo,"$1,678,854","$1,678,854"
337,Willy Hernangomez,"$1,676,735","$1,676,735"
338,Treveon Graham,"$1,645,357","$1,645,357"
338,Christian Wood,"$1,645,357","$1,645,357"
338,Derrick Jones,"$1,645,357","$1,645,357"
338,Georges Niang,"$1,645,357","$1,645,357"
342,Shaquille Harrison,"$1,620,564","$1,620,564"
342,Furkan Korkmaz,"$1,620,564","$1,620,564"
344,Semi Ojeleye,"$1,618,520","$1,618,520"
344,Dwayne Bacon,"$1,618,520","$1,618,520"
344,Dillon Brooks,"$1,618,520","$1,618,520"
344,Sterling Brown,"$1,618,520","$1,618,520"
344,Frank Jackson,"$1,618,520","$1,618,520"
344,Damyean Dotson,"$1,618,520","$1,618,520"
344,Abdel Nader,"$1,618,520","$1,618,520"
344,Wesley Iwundu,"$1,618,520","$1,618,520"
344,Royce O'Neale,"$1,618,520","$1,618,520"
353,Monte Morris,"$1,588,231","$1,588,231"
353,Malcolm Miller,"$1,588,231","$1,588,231"
353,Chris Boucher,"$1,588,231","$1,588,231"
356,Mitchell Robinson,"$1,559,712","$1,559,712"
357,Isaiah Roby,"$1,500,000","$1,500,000"
357,Nigel Williams-Goss,"$1,500,000","$1,500,000"
359,Brad Wanamaker,"$1,445,697","$1,445,697"
359,Thanasis Antetokounmpo,"$1,445,697","$1,445,697"
359,Theo Pinson,"$1,445,697","$1,445,697"
359,Shake Milton,"$1,445,697","$1,445,697"
359,Wenyen Gabriel,"$1,445,697","$1,445,697"
364,Devonte Graham,"$1,416,852","$1,416,852"
364,Jalen Brunson,"$1,416,852","$1,416,852"
364,Keita Bates-Diop,"$1,416,852","$1,416,852"
364,Sviatoslav Mykhailiuk,"$1,416,852","$1,416,852"
364,Khyri Thomas,"$1,416,852","$1,416,852"
364,Bruce Brown,"$1,416,852","$1,416,852"
364,Alize Johnson,"$1,416,852","$1,416,852"
364,De'Anthony Melton,"$1,416,852","$1,416,852"
364,Kendrick Nunn,"$1,416,852","$1,416,852"
364,Duncan Robinson,"$1,416,852","$1,416,852"
364,Jarred Vanderbilt,"$1,416,852","$1,416,852"
364,Kenrich Williams,"$1,416,852","$1,416,852"
364,Hamidou Diallo,"$1,416,852","$1,416,852"
364,Deonte Burton,"$1,416,852","$1,416,852"
364,Melvin Frazier,"$1,416,852","$1,416,852"
364,Ryan Broekhoff,"$1,416,852","$1,416,852"
364,Jevon Carter,"$1,416,852","$1,416,852"
364,Elie Okobo,"$1,416,852","$1,416,852"
364,Gary Trent Jr,"$1,416,852","$1,416,852"
364,Chimezie Metu,"$1,416,852","$1,416,852"
364,Isaac Bonga,"$1,416,852","$1,416,852"
385,Bruno Fernando,"$1,400,000","$1,400,000"
385,Jaylen Nowell,"$1,400,000","$1,400,000"
387,Kevin Porter,"$1,290,960","$1,290,960"
388,Jordan McRae,"$1,254,933","$1,254,933"
389,Carsen Edwards,"$1,228,026","$1,228,026"
390,Cody Martin,"$1,173,310","$1,173,310"
391,Gary Payton II,"$1,052,909","$1,052,909"
392,Terance Mann,"$1,000,000","$1,000,000"
392,Admiral Schofield,"$1,000,000","$1,000,000"
394,David Nwaba,"$903,111","$903,111"
395,Javonte Green,"$898,310","$898,310"
395,Nicolas Claxton,"$898,310","$898,310"
395,Jalen McDaniels,"$898,310","$898,310"
395,Caleb Martin,"$898,310","$898,310"
395,Daniel Gafford,"$898,310","$898,310"
395,Vlatko Cancar,"$898,310","$898,310"
395,Alen Smailagic,"$898,310","$898,310"
395,Eric Paschall,"$898,310","$898,310"
395,Talen Horton-Tucker,"$898,310","$898,310"
395,KZ Okpala,"$898,310","$898,310"
395,Naz Reid,"$898,310","$898,310"
395,Ignas Brazdeikis,"$898,310","$898,310"
395,Jalen Lecque,"$898,310","$898,310"
395,DaQuan Jeffries,"$898,310","$898,310"
395,Justin James,"$898,310","$898,310"
395,Matt Thomas,"$898,310","$898,310"
395,Terence Davis,"$898,310","$898,310"
395,Dewan Hernandez,"$898,310","$898,310"
395,Miye Oni,"$898,310","$898,310"
414,Damion Lee,"$842,327","$842,327"
415,Jeff Green,"$840,427","$840,427"
416,Timothe Luwawu,"$837,583","$837,583"
417,Juwan Morgan,"$746,054","$746,054"
418,Gary Clark,"$718,765","$718,765"
419,Marvin Williams,"$604,278","$604,278"
420,Michael Kidd-Gilchrist,"$595,122","$595,122"
421,Rayjon Tucker,"$578,573","$578,573"
422,Chris Clemons,"$563,346","$563,346"
423,Brandon Goodwin,"$522,738","$522,738"
424,DeMarre Carroll,"$512,721","$512,721"
424,Reggie Jackson,"$512,721","$512,721"
426,Justin Patton,"$483,115","$483,115"
427,Anzejs Pasecniks,"$482,144","$482,144"
428,Chris Silva,"$466,918","$466,918"
429,Troy Daniels,"$458,439","$458,439"
430,Anthony Tolliver,"$434,704","$434,704"
431,Joakim Noah,"$381,360","$381,360"
432,Dion Waiters,"$375,385","$375,385"
433,Dean Wade,"$375,000","$375,000"
434,Ky Bowman,"$350,189","$350,189"
434,Juan Toscano-Anderson,"$350,189","$350,189"
434,Norvel Pelle,"$350,189","$350,189"
437,Jamal Crawford,"$289,803","$289,803"
438,Jordan Bell,"$250,000","$250,000"
439,Tyler Zeller,"$245,686","$245,686"
440,Trey Burke,"$229,220","$229,220"
441,Jontay Porter,"$197,933","$197,933"
442,Cameron Payne,"$196,288","$196,288"
442,Jerian Grant,"$196,288","$196,288"
444,Dragan Bender,"$189,700","$189,700"
445,Mychal Mulder,"$187,782","$187,782"
446,Tyler Johnson,"$183,115","$183,115"
446,PJ Dozier,"$183,115","$183,115"
446,Sindarius Thornwell,"$183,115","$183,115"
446,Corey Brewer,"$183,115","$183,115"
450,Joe Chealey,"$163,356","$163,356"
450,Jaylen Adams,"$163,356","$163,356"
452,Johnathan Williams,"$161,245","$161,245"
453,Luguentz Dort,"$155,647","$155,647"
454,Oshae Brissett,"$129,568","$129,568"
455,JP Macura,"$106,181","$106,181"
456,Donta Hall,"$101,504","$101,504"
457,Sheldon Mac,"$91,557","$91,557"
457,Chasson Randle,"$91,557","$91,557"
459,Jonah Bolden,"$89,846","$89,846"
460,Derrick Walton,"$81,678","$81,678"
461,Charlie Brown,"$79,568","$79,568"
461,Tacko Fall,"$79,568","$79,568"
461,Tremont Waters,"$79,568","$79,568"
461,Jeremiah Martin,"$79,568","$79,568"
461,Chris Chiozza,"$79,568","$79,568"
461,Raymond Spalding,"$79,568","$79,568"
461,Kobi Simmons,"$79,568","$79,568"
461,Max Strus,"$79,568","$79,568"
461,Adam Mokoka,"$79,568","$79,568"
461,Matt Mooney,"$79,568","$79,568"
461,Josh Reaves,"$79,568","$79,568"
461,Antonius Cleveland,"$79,568","$79,568"
461,Bol Bol,"$79,568","$79,568"
461,Tyler Cook,"$79,568","$79,568"
461,Jordan Bone,"$79,568","$79,568"
461,Louis King,"$79,568","$79,568"
461,Michael Frazier,"$79,568","$79,568"
461,William Howard,"$79,568","$79,568"
461,Naz Long,"$79,568","$79,568"
461,Brian Bowen,"$79,568","$79,568"
461,Johnathan Motley,"$79,568","$79,568"
461,Amir Coffey,"$79,568","$79,568"
461,Devontae Cacok,"$79,568","$79,568"
461,Kostas Antetokounmpo,"$79,568","$79,568"
461,John Konchar,"$79,568","$79,568"
461,Yuta Watanabe,"$79,568","$79,568"
461,Kyle Alexander,"$79,568","$79,568"
461,Gabe Vincent,"$79,568","$79,568"
461,Cam Reynolds,"$79,568","$79,568"
461,Frank Mason,"$79,568","$79,568"
461,Kelan Martin,"$79,568","$79,568"
461,Jordan McLaughlin,"$79,568","$79,568"
461,Zylan Cheatham,"$79,568","$79,568"
461,Josh Gray,"$79,568","$79,568"
461,Kenny Wooten,"$79,568","$79,568"
461,Jared Harper,"$79,568","$79,568"
461,Kevin Hervey,"$79,568","$79,568"
461,Vic Law,"$79,568","$79,568"
461,BJ Johnson,"$79,568","$79,568"
461,Marial Shayok,"$79,568","$79,568"
461,Tariq Owens,"$79,568","$79,568"
461,Moses Brown,"$79,568","$79,568"
461,Jaylen Hoard,"$79,568","$79,568"
461,Kyle Guy,"$79,568","$79,568"
461,Drew Eubanks,"$79,568","$79,568"
461,Quinndary Weatherspoon,"$79,568","$79,568"
461,Paul Watson,"$79,568","$79,568"
461,Jarrell Brantley,"$79,568","$79,568"
461,Justin Wright-Foreman,"$79,568","$79,568"
461,Garrison Mathews,"$79,568","$79,568"
511,Malik Newman,"$65,978","$65,978"
